App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver
Tarascon Pharmacopoeia,Medical,4.4,275,5.8M,"10,000+",Free,0,Everyone 10+,"March 16, 2018",3.16.4.1669,4.4 and up
Clear,Tools,3.1,24151,15M,"10,000,000+",Free,0,Everyone,"August 6, 2018",11.7.0,4.1 and up
Electrician Calculator Pro,Tools,3.9,47,270k,"1,000+",Paid,$14.99,Everyone,"June 3, 2014",3.1,1.6 and up
Citizens Bank Mobile Banking,Finance,4.1,15192,38M,"1,000,000+",Free,0,Everyone,"May 23, 2018",4.2.1,4.1 and up
Mango Languages: Lovable Language Courses,Education,4.0,4815,19M,"500,000+",Free,0,Everyone,"July 17, 2018",4.2.3,4.2 and up
Digital TV,Entertainment,3.1,5241,Varies with device,"5,000,000+",Free,0,Everyone,"June 6, 2018",Varies with device,6.0 and up
Video Downloader for FB,Tools,4.3,53,3.0M,"5,000+",Free,0,Everyone,"August 1, 2018",1.0.1,4.0.3 and up
AP Calculus BC Practice Test,Education,4.2,4,29M,500+,Free,0,Everyone,"January 25, 2018",6.0.2,4.4 and up
Quizlet: Learn Languages & Vocab with Flashcards,Education,4.6,211856,Varies with device,"10,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
CIA - Caller ID & Call Blocker,Communication,4.0,60308,Varies with device,"5,000,000+",Free,0,Everyone,"June 22, 2018",Varies with device,Varies with device
Dr. D. Y. Patil Vidyapeeth GBS,Education,4.0,3,5.3M,100+,Free,0,Everyone,"February 14, 2017",1.0.1702140017,4.1 and up
N-Com Wizard,Communication,3.3,960,3.8M,"50,000+",Free,0,Everyone,"September 21, 2017",2.1.2,2.3.3 and up
MedM Blood Pressure,Medical,4.0,255,16M,"10,000+",Free,0,Everyone,"May 25, 2018",2.5.80,4.2 and up
Teacher's Gradebook - Additio,Education,4.2,3241,16M,"100,000+",Free,0,Everyone,"August 1, 2018",4.8.2,4.0.3 and up
Futbol24,Sports,4.3,31908,Varies with device,"1,000,000+",Free,0,Everyone,"September 27, 2017",Varies with device,Varies with device
Denis Brogniart - AH !,Entertainment,4.5,2931,818k,"100,000+",Free,0,Everyone,"August 4, 2017",1.1,4.2 and up
BW Smart,Tools,3.7,50,19M,"5,000+",Free,0,Everyone,"June 6, 2017",v1.2.2,4.0 and up
CL e-bank,Finance,4.0,210,3.7M,"10,000+",Free,0,Everyone,"July 30, 2018",1.5.5,4.2 and up
CBRadioTab,Tools,3.9,127,1.5M,"50,000+",Free,0,Everyone,"April 1, 2017",1.0,3.0 and up
BT One Phone Mobile App,Communication,3.5,33,2.7M,"10,000+",Free,0,Everyone,"September 18, 2017",2.2.6,4.1 and up
Bihar Land Records - RoR and EB Quick Pay,Tools,4.0,8,2.2M,"1,000+",Free,0,Everyone,"August 7, 2018",1.0.1,5.0 and up
DSLR Camera Hd Ultra Professional,Photography,4.2,4410,4.5M,"1,000,000+",Free,0,Everyone,"June 27, 2018",4.1,4.0.3 and up
BC Connect,Education,3.8,11,17M,"1,000+",Free,0,Everyone,"March 14, 2018",2.6.12,4.1 and up
Exchange Bank - EB Mobile,Finance,4.6,8,31M,"1,000+",Free,0,Everyone,"May 2, 2018",18.1.79,5.0 and up
EC music dictionary,Tools,4.4,20,2.2M,500+,Paid,$1.99,Everyone,"December 29, 2014",2.1,3.0 and up
Motorola Assist,Tools,4.1,37333,Varies with device,"50,000,000+",Free,0,Everyone,"January 17, 2016",Varies with device,Varies with device
ABC – Live TV & Full Episodes,Entertainment,3.3,50428,Varies with device,"5,000,000+",Free,0,Teen,"July 25, 2018",Varies with device,5.0 and up
Learn C++,Education,4.6,73404,5.3M,"1,000,000+",Free,0,Everyone,"December 25, 2017",4.5.2,4.0 and up
KBA-EZ Health Guide,Medical,5.0,4,25M,1+,Free,0,Everyone,"August 2, 2018",1.0.72,4.0.3 and up
"Stocks, Forex, Bitcoin, Ethereum: Portfolio & News",Finance,4.6,157505,Varies with device,"5,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
PTA Content Master,Medical,4.2,64,41M,"1,000+",Paid,$29.99,Everyone,"December 22, 2015",2.1,2.2 and up
CL Keyboard - Myanmar Keyboard (No Ads),Tools,5.0,24,3.2M,"5,000+",Free,0,Everyone,"June 13, 2018",1.1.3,4.3 and up
Math Tricks,Education,4.5,342918,8.1M,"10,000,000+",Free,0,Everyone,"July 29, 2018",2.24,4.0 and up
Download Manager Pro FREE,Productivity,3.8,637,7.2M,"100,000+",Free,0,Everyone,"October 31, 2017",2.5,4.1 and up
Talking Tom Gold Run,Action,4.6,2698882,78M,"100,000,000+",Free,0,Everyone,"July 31, 2018",2.8.2.59,4.1 and up
"ES File Explorer & Manager, Locker Xplorer 2018",Tools,3.5,11,3.0M,"1,000+",Free,0,Everyone,"March 17, 2018",1.2,4.2 and up
AC remote control mobile,Tools,3.9,3043,7.7M,"100,000+",Free,0,Everyone,"June 2, 2017",1.3 acremotecontrol,4.0.3 and up
QR Scanner & Barcode Scanner 2018,Productivity,3.8,8226,4.1M,"10,000,000+",Free,0,Everyone,"July 20, 2018",1.8.4,4.4 and up
R-net for Android,Productivity,3.3,48,58k,"5,000+",Free,0,Everyone,"August 7, 2013",1.0,3.1 and up
Whoscall - Caller ID & Block,Communication,4.4,552441,29M,"10,000,000+",Free,0,Everyone,"August 1, 2018",6.19.1,4.1 and up
CW Seed,Entertainment,4.5,16372,13M,"500,000+",Free,0,Teen,"July 18, 2018",1.16,4.4 and up
ET Markets : NSE & BSE India,Finance,4.2,24980,9.2M,"1,000,000+",Free,0,Everyone,"July 16, 2018",2.1.3,4.1 and up
Commission Manager,Productivity,3.2,12,2.2M,"1,000+",Free,0,Everyone,"March 26, 2015",1.0.0.0,2.3.3 and up
DIRECTV for Tablets,Entertainment,3.9,24123,69M,"1,000,000+",Free,0,Teen,"June 1, 2018",5.9.006,4.1 and up
POLARIS 2MFG,Education,4.8,1228,29M,"10,000+",Free,0,Everyone,"March 28, 2018",1.7,4.1 and up
Safe Santa Fe,Education,5.0,2,12M,"1,000+",Free,0,Everyone,"July 4, 2016",1.0,4.0 and up
Gogo Vision (Biz Av),Entertainment,3.3,11,7.3M,"1,000+",Free,0,Teen,"August 23, 2017",3.4.0,4.1 and up
Je Parle ANGLAIS - Apprendre l’anglais Audio cours,Education,4.4,499,27M,"100,000+",Free,0,Everyone,"March 13, 2018",2.4,4.0.3 and up
iSwipe Phone X,Tools,4.7,58366,6.3M,"1,000,000+",Free,0,Everyone,"December 7, 2017",1.0,4.1 and up
Robbery Bob,Action,4.5,617732,44M,"10,000,000+",Free,0,Everyone 10+,"July 29, 2018",1.18.4,4.1 and up
MEGOGO - Cinema and TV,Entertainment,4.0,175528,Varies with device,"10,000,000+",Free,0,Everyone,"August 3, 2018",Varies with device,Varies with device
BD tools,Tools,4.0,21,210k,"10,000+",Free,0,Everyone,"December 18, 2015",6.1,4.2 and up
FL House,Productivity,4.4,29,Varies with device,"1,000+",Free,0,Everyone,"November 22, 2016",1.6.7,Varies with device
PlacarTv Futebol Ao Vivo,Communication,4.1,2063,4.5M,"100,000+",Free,0,Everyone,"June 3, 2018",1.0.3,4.0 and up
"Moneycontrol – Stocks, Sensex, Mutual Funds, IPO",Finance,4.4,281635,Varies with device,"5,000,000+",Free,0,Everyone,"August 6, 2018",Varies with device,Varies with device
Oddworld: New 'n' Tasty,Action,4.6,1475,34M,"10,000+",Paid,$4.99,Teen,"January 2, 2018",1.0.4,5.0 and up
BI Mobile,Finance,4.4,337,3.3M,"10,000+",Free,0,Everyone,"March 15, 2018",1.0,4.0.3 and up
Rabo Banking,Finance,3.4,31906,Varies with device,"1,000,000+",Free,0,Everyone,"July 19, 2018",5.16.0,4.0 and up
Goal Live Scores,Sports,4.4,232423,35M,"5,000,000+",Free,0,Everyone,"June 11, 2018",4.2.2,4.0.3 and up
Soccer Manager 2018,Sports,4.4,63779,95M,"1,000,000+",Free,0,Everyone,"July 16, 2018",1.5.6,5.0 and up
PhotoScan by Google Photos,Photography,4.3,61990,Varies with device,"10,000,000+",Free,0,Everyone,"February 9, 2018",1.5.1.182070924,5.0 and up
EA SPORTS UFC®,Sports,4.5,2371338,37M,"50,000,000+",Free,0,Teen,"July 24, 2017",1.9.3097721,2.3.3 and up
Photo Editor-,Photography,4.3,68070,Varies with device,"5,000,000+",Free,0,Everyone,"May 5, 2018",Varies with device,Varies with device
ES File Explorer File Manager,Productivity,4.6,5383985,16M,"100,000,000+",Free,0,Everyone,"August 3, 2018",4.1.8.2.2,4.0 and up
EA SPORTS™ FIFA 18 Companion,Sports,3.9,282727,63M,"10,000,000+",Free,0,Everyone,"December 7, 2017",18.0.5.172734,4.4 and up
HTC Sense Input - EN,Tools,4.3,24175,8.5M,"5,000,000+",Free,0,Everyone,"October 30, 2015",1.0.612931,5.0 and up
EW Widgets for Zooper,Tools,3.4,5,1.9M,100+,Free,0,Everyone,"December 3, 2016",1.0.2,4.0.3 and up
USE Credit Union Mobile,Finance,4.6,964,14M,"10,000+",Free,0,Everyone,"June 12, 2018",5.9.1.0,5.0 and up
Five Nights at Freddy's,Action,4.6,100805,50M,"1,000,000+",Paid,$2.99,Teen,"December 2, 2014",1.85,2.3 and up
Camera ZOOM FX - FREE,Photography,4.0,88860,6.1M,"5,000,000+",Free,0,Everyone,"April 6, 2017",6.2.9,2.3 and up
Ada - Your Health Guide,Medical,4.7,87418,14M,"1,000,000+",Free,0,Everyone,"July 16, 2018",2.25.0,4.4 and up
TEKKEN™,Action,4.2,147791,38M,"5,000,000+",Free,0,Teen,"July 26, 2018",1.3,5.0 and up
Get Free V-bucks_fortnite Hints,Entertainment,4.7,1997,1.8M,"5,000+",Free,0,Everyone,"July 21, 2018",1.0,4.4 and up
DT-VR,Entertainment,3.8,25,9.5M,"1,000+",Free,0,Everyone,"August 9, 2016",1.2,2.2 and up
Yahoo Fantasy Sports - #1 Rated Fantasy App,Sports,4.2,277904,Varies with device,"5,000,000+",Free,0,Mature 17+,"August 2, 2018",Varies with device,Varies with device
"Polaris Office - Word, Docs, Sheets, Slide, PDF",Productivity,4.3,549900,60M,"10,000,000+",Free,0,Everyone,"July 18, 2018",7.3.30,4.1 and up
CT Scan Cross Sectional Anatomy,Medical,4.3,10,46M,100+,Free,0,Everyone,"July 19, 2018",5.0.16,4.1 and up
FH School,Education,5.0,4,5.8M,100+,Free,0,Everyone,"April 11, 2018",1.0.1,4.0.3 and up
EX File Explorer File Manager,Productivity,4.0,4660,5.9M,"1,000,000+",Free,0,Everyone,"October 6, 2016",1.0,4.0 and up
Super Ear Super Hearing,Medical,4.0,122,980k,"10,000+",Free,0,Everyone,"July 13, 2018",1.4,4.0 and up
"theScore: Live Sports Scores, News, Stats & Videos",Sports,4.4,133825,34M,"10,000,000+",Free,0,Everyone 10+,"July 25, 2018",6.17.2,4.4 and up
Telegram,Communication,4.4,3128509,Varies with device,"100,000,000+",Free,0,Mature 17+,"July 27, 2018",Varies with device,Varies with device
Let us C - Example Programs,Education,4.3,36,1.1M,"5,000+",Free,0,Everyone,"August 30, 2017",1.2,3.0 and up
Timetable,Education,4.2,40209,Varies with device,"1,000,000+",Free,0,Everyone,"May 24, 2018",Varies with device,Varies with device
"Candy Camera - selfie, beauty camera, photo editor",Photography,4.4,3368705,Varies with device,"100,000,000+",Free,0,Everyone,"July 16, 2018",4.47,4.0.3 and up
Heroes of Dragon Age,Action,4.2,70389,28M,"1,000,000+",Free,0,Teen,"May 9, 2018",5.3.1,2.3.3 and up
imo free video calls and chat,Communication,4.3,4785892,11M,"500,000,000+",Free,0,Everyone,"June 8, 2018",9.8.000000010501,4.0 and up
Voice changer with effects,Entertainment,4.2,1260903,8.7M,"50,000,000+",Free,0,Everyone,"August 2, 2018",3.4.8,4.1 and up
SwiftKey Keyboard,Productivity,4.5,2764964,Varies with device,"100,000,000+",Free,0,Everyone,"August 2, 2018",Varies with device,Varies with device
JavaScript Editor CR,Tools,3.9,114,18M,"5,000+",Free,0,Everyone,"March 16, 2018",1.0.209,4.0 and up
DEER HUNTER 2018,Action,4.3,955614,82M,"10,000,000+",Free,0,Teen,"June 26, 2018",5.1.2,3.0 and up
CB On Mobile,Communication,4.1,901,323k,"100,000+",Free,0,Teen,"April 26, 2017",1.0.5,4.0 and up
Monster Fishing 2018,Sports,4.4,32881,76M,"1,000,000+",Free,0,Everyone,"August 7, 2018",0.0.80,4.1 and up
K keyboard - Myanmar,Tools,4.8,1955,14M,"100,000+",Free,0,Everyone,"March 17, 2018",1.0.8,4.1 and up
DU Emoji Keyboard（Simeji）,Tools,4.3,19234,14M,"500,000+",Free,0,Everyone,"February 23, 2017",3.1.3,4.0.3 and up
Math Solver,Education,4.3,2250,30M,"100,000+",Free,0,Everyone,"November 21, 2017",1.2,4.1 and up
AW - free video calls and chat,Communication,4.0,7317,Varies with device,"1,000,000+",Free,0,Teen,"July 4, 2018",1.0.08.73,4.0.3 and up
Photo Compress 2.0 - Ad Free,Tools,4.1,6267,1.7M,"1,000,000+",Free,0,Everyone,"May 7, 2016",2.1,3.2 and up
8 Ball Pool,Sports,4.5,14201891,52M,"100,000,000+",Free,0,Everyone,"July 31, 2018",4.0.0,4.0.3 and up
FG On-The-Go,Tools,4.9,55,25M,"1,000+",Free,0,Everyone,"June 29, 2018",2.01.0.2,4.1 and up
SportLook,Photography,2.5,1283,8.2M,"100,000+",Free,0,Everyone,"June 21, 2018",1.2.7,4.1 and up
ConvertPad - Unit Converter,Tools,4.4,90831,4.3M,"10,000,000+",Free,0,Everyone,"June 18, 2017",3.1.00,4.2 and up
Telemundo Now,Entertainment,3.9,8674,19M,"1,000,000+",Free,0,Teen,"May 25, 2018",3.3.1.42,4.4 and up
Motorola Camera,Photography,3.6,219745,Varies with device,"50,000,000+",Free,0,Everyone,"January 25, 2016",Varies with device,Varies with device
HESI A2 Pocket Prep,Medical,4.3,2108,28M,"50,000+",Free,0,Everyone,"May 2, 2018",4.5.1,4.4 and up
PK and DK Audio App,Entertainment,5.0,2,3.9M,100+,Free,0,Everyone,"October 25, 2017",5.1.4,4.1 and up
Ghostery Privacy Browser,Communication,4.1,13100,2.2M,"1,000,000+",Free,0,Everyone,"March 20, 2018",1.4.1.0,4.0.3 and up
BK Gold App,Finance,5.0,4,11M,50+,Free,0,Everyone,"May 25, 2018",1.0.0,4.4 and up
Coursera: Online courses,Education,4.4,90481,Varies with device,"5,000,000+",Free,0,Everyone,"July 27, 2018",Varies with device,Varies with device
"My Effectiveness: To do, Tasks",Productivity,4.6,14089,8.4M,"500,000+",Free,0,Everyone,"August 5, 2018",0.21.1,4.1 and up
Google AdSense,Productivity,4.3,52677,2.9M,"1,000,000+",Free,0,Everyone,"December 13, 2017",3.3,4.0 and up
Counter Attack - Multiplayer FPS,Action,4.3,112565,32M,"1,000,000+",Free,0,Teen,"July 21, 2018",1.1.97,4.4 and up
PUBG MOBILE,Action,4.4,3697174,36M,"50,000,000+",Free,0,Teen,"July 24, 2018",0.7.0,4.3 and up
EV Finder,Tools,4.3,29,23M,"1,000+",Free,0,Everyone,"February 7, 2017",2.7,2.3 and up
MiAI (Artificial Intelligence) Assistant,Productivity,3.7,3,7.5M,100+,Free,0,Everyone,"March 1, 2018",11.04,4.1 and up
Ultimate Notepad,Productivity,4.0,10643,Varies with device,"5,000,000+",Free,0,Everyone,"May 19, 2018",Varies with device,Varies with device
Zenith Bank Mobile App,Finance,4.3,7215,18M,"1,000,000+",Free,0,Everyone,"July 23, 2018",2.7.4,4.0 and up
SAT Vocabulary,Education,4.2,642,Varies with device,"50,000+",Free,0,Everyone,"June 5, 2018",Varies with device,Varies with device
TouchNote: Cards & Gifts,Photography,4.1,19232,28M,"1,000,000+",Free,0,Everyone,"August 6, 2018",7.4.2,4.4 and up
Sports Alerts - NFL edition,Sports,4.6,11549,Varies with device,"100,000+",Free,0,Everyone,"July 7, 2018",Varies with device,Varies with device
Ninja FN Button,Entertainment,4.8,12,12M,"1,000+",Free,0,Teen,"July 4, 2018",1.1,4.0 and up
AT&T Call Protect,Communication,4.2,6454,15M,"5,000,000+",Free,0,Everyone,"May 3, 2018",1.5.13-3598,5.0 and up
I am Rich Premium Plus,Finance,4.6,459,2.0M,"10,000+",Paid,$18.99,Everyone,"February 17, 2018",1.1,4.0.3 and up
Tropical Financial CU,Finance,4.6,1231,14M,"10,000+",Free,0,Everyone,"June 12, 2018",5.9.1.0,5.0 and up
LiveScore: Live Sport Updates,Sports,4.4,283662,Varies with device,"10,000,000+",Free,0,Everyone,"June 15, 2018",Varies with device,4.1 and up
DW Timer,Tools,5.0,9,1.5M,100+,Free,0,Everyone,"April 5, 2017",1.0,1.6 and up
Power Widget,Tools,4.2,928,383k,"10,000+",Paid,$1.99,Everyone,"March 20, 2014",3.4,2.2 and up
Google Keep,Productivity,4.4,691474,Varies with device,"100,000,000+",Free,0,Everyone,"August 6, 2018",Varies with device,Varies with device
"Shutterfly: Free Prints, Photo Books, Cards, Gifts",Photography,4.6,98716,59M,"5,000,000+",Free,0,Everyone,"August 1, 2018",5.13.1,5.0 and up
NCAA Sports,Sports,3.9,4272,16M,"500,000+",Free,0,Everyone,"April 23, 2018",3.0.13,4.1 and up
CN Resident,Entertainment,5.0,1,64M,100+,Free,0,Everyone,"May 22, 2017",40.10,4.1 and up
Gboard - the Google Keyboard,Tools,4.2,1859115,Varies with device,"500,000,000+",Free,0,Everyone,"July 31, 2018",Varies with device,Varies with device
VitusVet: Pet Health Care App,Medical,4.8,3052,12M,"100,000+",Free,0,Everyone,"July 31, 2018",3.8.0,4.1 and up
Xbox,Entertainment,4.3,556659,46M,"10,000,000+",Free,0,Everyone,"June 20, 2018",1805.0618.1637,4.1 and up
MyQuest for Patients,Medical,4.0,3803,16M,"100,000+",Free,0,Everyone,"March 13, 2018",2.17,4.0 and up
Daum Mail - Next Mail,Communication,4.3,41420,19M,"5,000,000+",Free,0,Everyone,"June 21, 2018",3.2.0,4.0 and up
Selfie With Champion AJ Style,Photography,5.0,2,7.5M,500+,Free,0,Everyone,"January 8, 2018",1.0,3.2 and up
Mircules DX Cluster Lite,Communication,4.5,51,21M,"5,000+",Free,0,Everyone,"May 10, 2016",3.0,4.1 and up
"JStock - Stock Market, Portfolio & News",Finance,4.6,11066,9.1M,"500,000+",Free,0,Everyone,"July 18, 2018",1.1.39,4.0 and up
TI-84 CE Graphing Calculator Manual TI 84,Education,5.0,1,27M,100+,Paid,$4.99,Everyone,"March 28, 2018",1.5.2,4.1 and up
Virtual Boyfriend Chat,Entertainment,2.4,407,306k,"50,000+",Free,0,Mature 17+,"April 11, 2017",1.0,2.2 and up
AVG AntiVirus 2018 for Android Security,Tools,4.5,6207063,Varies with device,"100,000,000+",Free,0,Everyone,"August 3, 2018",Varies with device,Varies with device
Football Live Scores,Sports,4.5,107724,6.5M,"5,000,000+",Free,0,Everyone,"July 31, 2018",1004.0,4.0 and up
SHOWTIME,Entertainment,4.2,12398,Varies with device,"1,000,000+",Free,0,Teen,"July 2, 2018",Varies with device,Varies with device
Puck AI Personal Assistant Robot,Productivity,4.1,22,26M,"1,000+",Free,0,Everyone,"November 2, 2017",1.5,4.0.3 and up
BG+Phone Backup,Productivity,4.8,16,2.6M,"1,000+",Free,0,Everyone,"February 17, 2017",1.0.3,2.3 and up
Pocket GMAT Math,Education,4.3,656,556k,"10,000+",Free,0,Everyone,"July 11, 2014",1.1,2.2 and up
Battery Doctor-Battery Life Saver & Battery Cooler,Tools,4.5,8190074,17M,"100,000,000+",Free,0,Everyone,"June 1, 2018",6.24,4.0 and up
Itau bank,Finance,4.2,957973,40M,"10,000,000+",Free,0,Everyone,"July 30, 2018",6.5.7,4.2 and up
Remote for Onkyo AV Receivers & Smart TV/Blu-Ray,Tools,3.7,701,7.3M,"100,000+",Free,0,Everyone,"July 31, 2018",Cow V3.15,4.3 and up
Patient Portal,Medical,2.8,66,1.2M,"50,000+",Free,0,Everyone,"October 25, 2016",1.0,4.0.3 and up
Antenna Tool Premium,Tools,4.5,14,2.9M,500+,Paid,$0.99,Everyone,"October 26, 2017",2.2,4.0.3 and up
Learn DS [BETA],Education,4.3,9,5.0M,500+,Free,0,Everyone,"February 12, 2017",0.5,4.0 and up
